rep.num,original.study.number,original.effect.size,replication.effect.size,replication.study.number,outcome,target.effect,rep.effort.type,IVs,DVs,replication.type,replication.method.differences,replication.positive.control.evidence,other.outcomes,discipline,rep.num.in.set,original.study.article.URL,replication.study.article.URL,replication.open.data.URL,replication.open.materials.URL,replication.pre.reg.URL,original.open.data.URL,original.open.materials.URL,original.pre.reg.URL,effect.description,design,statistical.effect.type,original.test.statistic,original.pvalue,original.N,replication.N,outcome.bayesian,study.order.CS,RPP.study.number,original.article.title
928,Strack et al. (1988) Study 1,MD(N=60) = +.82 ± .77,MD(N=108) = +.35 ± .53,Zeelenberg et al. (2016),unsuccessful,facial feedback hypothesis ,RRR6 (PPS),,,very close,New set of Far Side cartoons normed to be moderately funny; instructions via video to minimize experimenter effects; sessions filmed to allow for manipulation check; minor wording change for funniness rating scale,,,social,16,http://datacolada.org/wp-content/uploads/2014/03/Strack-et-al-1988-cartoons.pdf,http://journals.sagepub.com/doi/pdf/10.1177/1745691616674458,,https://osf.io/pkd65/,https://osf.io/dvqmj/,,,,,,,,,60,108,,,,
929,Strack et al. (1988) Study 1,MD(N=60) = +.82 ± .77,MD(N=126) = +.37 ± .55,Lynott et al. (2016),unsuccessful,facial feedback hypothesis ,RRR6 (PPS),,,very close,New set of Far Side cartoons normed to be moderately funny; instructions via video to minimize experimenter effects; sessions filmed to allow for manipulation check; minor wording change for funniness rating scale,,,social,17,http://datacolada.org/wp-content/uploads/2014/03/Strack-et-al-1988-cartoons.pdf,http://journals.sagepub.com/doi/pdf/10.1177/1745691616674458,,https://osf.io/pkd65/,https://osf.io/dvqmj/,,,,,,,,,60,126,,,,
930,Kenrick et al. (1989) Study 2,Δd(N=65) = -.53 ± .64,Δd(N=223) = +.29 ± .46,Balzarini et al. (2015) Study 1,unsuccessful,playboy effect,individual effort,Playboy centerfolds vs. control; Participant sex,Love for partner (Rubin Love-scale),close,Updated pictures of abstract art & male/female nudes; Two attention check questions,Nudes rated as more pleasant than abstract art,,social,,https://github.com/eplebel/science-commons/blob/master/curated/kgg1989/Kenrick%2C%20Gutierres%2C%20%26%20Goldbergs%20(1989)%20Study%202%20playboy%20effect.pdf,https://github.com/eplebel/science-commons/blob/master/curated/kgg1989/balzarini%20et%20al%20(2016%2C%20JESP)%203%20independent%20direct%20replications%20of%20playboy%20effect.pdf,https://osf.io/w648b/,https://osf.io/nrkej/,,,,,"Opposite-sex nudes exposure decreases love among men, but not women",,,,,65,223,,,,
931,Kenrick et al. (1989) Study 2,Δd(N=65) = -.53 ± .64,Δd(N=263) = +.30 ± .42,Balzarini et al. (2015) Study 2,unsuccessful,playboy effect,individual effort,Playboy centerfolds vs. control; Participant sex,Love for partner (Rubin Love-scale),close,Updated pictures of abstract art & male/female nudes; Two attention check questions,Nudes rated as more pleasant than abstract art,,social,,https://github.com/eplebel/science-commons/blob/master/curated/kgg1989/Kenrick%2C%20Gutierres%2C%20%26%20Goldbergs%20(1989)%20Study%202%20playboy%20effect.pdf,https://github.com/eplebel/science-commons/blob/master/curated/kgg1989/balzarini%20et%20al%20(2016%2C%20JESP)%203%20independent%20direct%20replications%20of%20playboy%20effect.pdf,https://osf.io/rqhjk/,https://osf.io/nrkej/,,,,,"Opposite-sex nudes exposure decreases love among men, but not women",,,,,65,263,,,,
932,Kenrick et al. (1989) Study 2,Δd(N=65) = -.53 ± .64,Δd(N=225) = -.38 ± .46,Balzarini et al. (2015) Study 3,unsuccessful,playboy effect,individual effort,Playboy centerfolds vs. control; Participant sex,Love for partner (Rubin Love-scale),close,Updated pictures of abstract art & male/female nudes; Two attention check questions,Nudes rated as more pleasant than abstract art,,social,,https://github.com/eplebel/science-commons/blob/master/curated/kgg1989/Kenrick%2C%20Gutierres%2C%20%26%20Goldbergs%20(1989)%20Study%202%20playboy%20effect.pdf,https://github.com/eplebel/science-commons/blob/master/curated/kgg1989/balzarini%20et%20al%20(2016%2C%20JESP)%203%20independent%20direct%20replications%20of%20playboy%20effect.pdf,https://osf.io/f4n7b/,https://osf.io/f56a8/,,,,,"Opposite-sex nudes exposure decreases love among men, but not women",,,,,65,225,,,,
933,Isen & Levin (1972) Study 2,PD(N=41) = +84% ± 18%,PD(N=50) = +3% ± 30%,Blevins & Murphy (1974),unsuccessful,positive mood boosts helping effect,individual effort,,,close,,,,social,,https://github.com/eplebel/science-commons/blob/master/curated/mood-on-helping/isen%20%26%20levin%20(1972%2C%20jpsp%2C%20studies%201%20%26%202)%20effect%20of%20feeling%20good%20on%20helping%20-%20cookies%20%26%20kindness.pdf,https://github.com/eplebel/science-commons/blob/master/curated/mood-on-helping/blevins%20%26%20murphy%20(1974)%20failed%20replication%20of%20i%26l1972%20study%202.pdf,,,,,,,Positive mood increases percentage of Ps who help,,,,,41,50,,,,
934,Levin & Isen (1975) Study 1,PD(N=24) = +60% ± 30%,PD(N=106) = +25% ± 29%,Weyant & Clark (1977) Study 1,unsuccessful,positive mood boosts helping effect,individual effort,,,close,,,,social,,https://github.com/eplebel/science-commons/blob/master/curated/mood-on-helping/levin%20%26%20isen%20(1975%2C%20studies%201%20%26%202)%20further%20studies%20on%20effect%20of%20feeling%20good%20on%20helping.pdf,https://github.com/eplebel/science-commons/blob/master/curated/mood-on-helping/weyant%20%26%20clark%20(1977%2C%20pspb)%20dimes%20and%20helping%20-%20the%20other%20side%20of%20the%20coin%20%5B2%20failed%20reps%20of%20l%26i1975%20study%201%5D.pdf,,,,,,,Positive mood increases percentage of Ps who help,,,,,24,106,,,,
935,Levin & Isen (1975) Study 1,PD(N=24) = +60% ± 30%,PD(N=32) = -7% ± 16%,Weyant & Clark (1977) Study 2,unsuccessful,positive mood boosts helping effect,individual effort,,,close,,,,social,,https://github.com/eplebel/science-commons/blob/master/curated/mood-on-helping/levin%20%26%20isen%20(1975%2C%20studies%201%20%26%202)%20further%20studies%20on%20effect%20of%20feeling%20good%20on%20helping.pdf,https://github.com/eplebel/science-commons/blob/master/curated/mood-on-helping/weyant%20%26%20clark%20(1977%2C%20pspb)%20dimes%20and%20helping%20-%20the%20other%20side%20of%20the%20coin%20%5B2%20failed%20reps%20of%20l%26i1975%20study%201%5D.pdf,,,,,,,Positive mood increases percentage of Ps who help,,,,,24,32,,,,
936,Kidd & Castano (2013) Study 1,d(N=86) = +.56 ± .43,d(N=300) = -.08 ± .23,Panero et al. (2016) Study 1,unsuccessful,reading fiction boosts empathy effect ,individual effort,Literary fiction vs. nonfiction,RMET,very close,,,,social,,http://www.scienceintheclassroom.org/sites/default/files/research-papers/science-2013-kidd-377-80.pdf,https://www.sas.upenn.edu/~deenas/papers/panero-weisberg-black-etal-JPSP.pdf,https://osf.io/6h9u3/,https://github.com/eplebel/science-commons/blob/master/curated/Panero-et-al-2016-SUPPLEMENTARY-MATERIALS.pdf,,,,,,,,,,86,300,,,,
937,Kidd & Castano (2013) Study 3,d(N=69) = +.36 ± .21,d(N=300) = +.14 ± .23,Dijkstra et al. (2015),unsuccessful,reading fiction boosts empathy effect ,individual effort,Literary fiction vs. nonfiction,RMET,very close,,,,social,,http://www.scienceintheclassroom.org/sites/default/files/research-papers/science-2013-kidd-377-80.pdf,https://github.com/eplebel/science-commons/blob/master/curated/dijkstra-et-al%5B2015%5D.pdf,,,,,,,,,,,,69,300,,,,
938,Kidd & Castano (2013) Study 3,d(N=69) = +.36 ± .21,d(N=303) = +.04 ± .22,Panero et al. (2016) Study 2,unsuccessful,reading fiction boosts empathy effect ,individual effort,Literary fiction vs. popular fiction,RMET,very close,,,,social,,http://www.scienceintheclassroom.org/sites/default/files/research-papers/science-2013-kidd-377-80.pdf,https://www.sas.upenn.edu/~deenas/papers/panero-weisberg-black-etal-JPSP.pdf,https://osf.io/6h9u3/,https://github.com/eplebel/science-commons/blob/master/curated/Panero-et-al-2016-SUPPLEMENTARY-MATERIALS.pdf,,,,,,,,,,69,303,,,,
939,Kidd & Castano (2013) Study 5,d(N=237) = +.25 ± .25,d(N=369) = +.10 ± .20,Panero et al. (2016) Study 3,unsuccessful,reading fiction boosts empathy effect ,individual effort,Literary fiction vs. popular fiction,RMET,very close,,,,social,,http://www.scienceintheclassroom.org/sites/default/files/research-papers/science-2013-kidd-377-80.pdf,https://www.sas.upenn.edu/~deenas/papers/panero-weisberg-black-etal-JPSP.pdf,https://osf.io/6h9u3/,https://github.com/eplebel/science-commons/blob/master/curated/Panero-et-al-2016-SUPPLEMENTARY-MATERIALS.pdf,,,,,,,,,,237,369,,,,
940,Bem (2011) Study 1,d(N=100) = +.25,d(N=200) = -.05,Wagenmakers et al. (2012),unsuccessful,pre-cognition (erotic premonition) ,individual effort,,,close,,,,social,,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,http://ejwagenmakers.com/2012/WagenmakersEtAl2012PoPS.pdf,,https://dl.dropboxusercontent.com/u/1018886/Advance_Information_on_Experiment_and_Analysis.pdf,https://dl.dropboxusercontent.com/u/1018886/Advance_Information_on_Experiment_and_Analysis.pdf,,,,,,,,,100,200,,,,
941,Bem (2011) Study 8,DR%(N=100) = +2.3% ± 2.3%,DR%(N=112) = -1.2% ± 1.6%,Galak et al. (2012) Study 1,unsuccessful,pre-cognition (retroactive memory recall) ,individual effort,,,very close,,,,social,,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,http://www.deanradin.com/evidence/galak2012.pdf,http://www.consumerbehaviorlab.com/psi/CorrectingThePastData.xlsx,,,,,,,,,,,100,112,,,,
942,Bem (2011) Study 8,DR%(N=100) = +2.3% ± 2.3%,DR%(N=158) = 0% ± 1.3%,Galak et al. (2012) Study 2,unsuccessful,pre-cognition (retroactive memory recall) ,individual effort,,,very close,,,,social,,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,http://www.deanradin.com/evidence/galak2012.pdf,http://www.consumerbehaviorlab.com/psi/CorrectingThePastData.xlsx,,,,,,,,,,,100,158,,,,
943,Bem (2011) Study 8,DR%(N=100) = +2.3% ± 2.3%,DR%(N=124) = +1.2% ± 1.4%,Galak et al. (2012) Study 3,unsuccessful,pre-cognition (retroactive memory recall) ,individual effort,,,very close,,,,social,,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,http://www.deanradin.com/evidence/galak2012.pdf,http://www.consumerbehaviorlab.com/psi/CorrectingThePastData.xlsx,,,,,,,,,,,100,124,,,,
944,Bem (2011) Study 8,DR%(N=100) = +2.3% ± 2.3%,DR%(N=2469) = -.1% ± .1%,Galak et al. (2012) Study 7,unsuccessful,pre-cognition (retroactive memory recall) ,individual effort,,,very close,,,,social,,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,http://www.deanradin.com/evidence/galak2012.pdf,http://www.consumerbehaviorlab.com/psi/CorrectingThePastData.xlsx,,,,,,,,,,,100,2469,,,,
945,Bem (2011) Study 9,DR%(N=50) = +4.2% ± 3.0%,DR%(N=109) = +1.6% ± 1.1%,Galak et al. (2012) Study 4,successful,pre-cognition (retroactive memory recall) ,individual effort,,,very close,,,,social,,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,http://www.deanradin.com/evidence/galak2012.pdf,http://www.consumerbehaviorlab.com/psi/CorrectingThePastData.xlsx,,,,,,,,,,,50,109,,,,
946,Bem (2011) Study 9,DR%(N=50) = +4.2% ± 3.0%,DR%(N=211) = -.5% ± 1.5%,Galak et al. (2012) Study 5,unsuccessful,pre-cognition (retroactive memory recall) ,individual effort,,,very close,,,,social,,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,http://www.deanradin.com/evidence/galak2012.pdf,http://www.consumerbehaviorlab.com/psi/CorrectingThePastData.xlsx,,,,,,,,,,,50,211,,,,
947,Bem (2011) Study 9,DR%(N=50) = +4.2% ± 3.0%,DR%(N=106) = -.3% ± 1.5%,Galak et al. (2012) Study 6,unsuccessful,pre-cognition (retroactive memory recall) ,individual effort,,,very close,,,,social,,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,http://www.deanradin.com/evidence/galak2012.pdf,http://www.consumerbehaviorlab.com/psi/CorrectingThePastData.xlsx,,,,,,,,,,,50,106,,,,
948,Bem (2011) Study 9,DR%(N=50) = +4.2% ± 3.0%,DR%(N=50) = +.2% ± 3.5%,Ritchie et al. (2012) Study 1,unsuccessful,pre-cognition (retroactive memory recall) ,individual effort,,,very close,,,,social,,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0033423,,,http://www.richardwiseman.com/BemReplications.shtml,,,,,,,,,50,50,,,,
949,Bem (2011) Study 9,DR%(N=50) = +4.2% ± 3.0%,DR%(N=50) = -2.7% ± 3.5%,Ritchie et al. (2012) Study 2,unsuccessful,pre-cognition (retroactive memory recall) ,individual effort,,,very close,,,,social,,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0033423,,,http://www.richardwiseman.com/BemReplications.shtml,,,,,,,,,50,50,,,,
950,Bem (2011) Study 9,DR%(N=50) = +4.2% ± 3.0%,DR%(N=50) = -.6% ± 3.5%,Ritchie et al. (2012) Study 3,unsuccessful,pre-cognition (retroactive memory recall) ,individual effort,,,very close,,,,social,,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0033423,,,http://www.richardwiseman.com/BemReplications.shtml,,,,,,,,,50,50,,,,
951,Bem (2011) Study 9,DR%(N=50) = +4.2% ± 3.0%,DR%(N=50) = -1.6% ± 3.4%,Robinson (2011),unsuccessful,pre-cognition (retroactive memory recall) ,individual effort,,,very close,,,,social,,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,https://github.com/eplebel/science-commons/blob/master/curated/bem2011/robinson(2011).pdf,,,,,,,,,,,,50,50,,,,
952,Carney et al. (2010),"OR(N=42) = 3.13 [.94,10.4]","OR(N=200) = .72 [.43,1.21]",Ranehill et al. (2015),unsuccessful,power posing effect (risk-taking DV) ,individual effort,pose (expansive vs contractive),risky gambling decision (yes vs. no),close,3-minute poses instead of 1-minute; 5 additional gain domain gambling decisions,,"2 other DVS (testosterone level, cortisol level; same pattern of results observed)",social,,"http://www.people.hbs.edu/acuddy/in%20press,%20carney,%20cuddy,%20&%20yap,%20psych%20science.pdf",http://datacolada.org/wp-content/uploads/2015/05/5110-Ranehill-Dreber-Johannesson-Leiberg-Sul-Weber-PS-2015-Assessing-the-robustness-of-power-posing-no-effect-on-hormones-and-risk-rolerance-in-a-large-sample-of-men-and-women.pdf,https://osf.io/6gswz/,https://osf.io/49a32/,,,,,,between-subjects,chi-square,,,42,200,,,,
953,Carney et al. (2010),"OR(N=42) = 3.13 [.94,10.4]","OR(N=305) = .67 [.38,1.18]",Garrison et al. (2016),unsuccessful,power posing effect (risk-taking DV) ,individual effort,pose (expansive vs contractive),risky gambling decision (yes vs. no),close,added ultimatum game dominance DV; also manipulated eye gaze (orthogonal to pose IV),,,social,,"http://www.people.hbs.edu/acuddy/in%20press,%20carney,%20cuddy,%20&%20yap,%20psych%20science.pdf",http://andrewgelman.com/wp-content/uploads/2016/06/Social-Psychological-and-Personality-Science-2016-Garrison-1948550616652209-copy.pdf,https://osf.io/34maf/,,https://osf.io/8tikd/,,,,,between-subjects,chi-square,,,42,305,,,,
956,Carney et al. (2010),"OR(N=42) = 3.13 [.94,10.4]","OR(N=94) = 1.38 [.65,2.92]","Bailey, LaFrance et al. (2017)",unsuccessful,power posing effect (risk-taking DV) ,CRSP special issue,pose (expansive vs contractive),risky gambling decision (yes vs. no),close,2 tokens for snacks instead of $2,,,social,,"http://www.people.hbs.edu/acuddy/in%20press,%20carney,%20cuddy,%20&%20yap,%20psych%20science.pdf",https://www.researchgate.net/profile/April_Bailey3/publication/312489365_Could_a_woman_be_superman_Gender_and_the_embodiment_of_power_postures/links/587e452908ae9275d4eb8dba.pdf,,,,,,,,between-subjects,chi-square,,,42,94,,,,
954,Carney et al. (2010),"OR(N=42) = 3.13 [.94,10.4]","OR(N=108) = .53 [.17,1.59]","Ronay, Tybur et al. (2017)",unsuccessful,power posing effect (risk-taking DV) ,CRSP special issue,pose (expansive vs contractive),risky gambling decision (yes vs. no),very close,Dutch undergraduates,,"2 other DVS (testosterone level, cortisol level; same pattern of results observed)",social,,"http://www.people.hbs.edu/acuddy/in%20press,%20carney,%20cuddy,%20&%20yap,%20psych%20science.pdf",http://www.tandfonline.com/doi/pdf/10.1080/23743603.2016.1248081?needAccess=true,,http://faculty.haas.berkeley.edu/dana_carney/PRS%20Materials%20-%20to%20replicate.zip,,,,,,between-subjects,chi-square,,,42,108,,,,
957,Carney et al. (2010),"OR(N=42) = 3.13 [.94,10.4]","OR(N=200) = 1.14 [.68,1.89]","Bombari, Schmid et al. (2017)",unsuccessful,power posing effect (risk-taking DV) ,CRSP special issue,pose (expansive vs contractive),risky gambling decision (yes vs. no),close,Swiss undergrad or Master's students,,,social,,"http://www.people.hbs.edu/acuddy/in%20press,%20carney,%20cuddy,%20&%20yap,%20psych%20science.pdf",https://www.researchgate.net/profile/Joseph_Cesario/publication/317958126_Power_poses_-_where_do_we_stand/links/59dbd44d0f7e9b1460fc29be/Power-poses-where-do-we-stand.pdf#page=45,,,,,,,,between-subjects,chi-square,,,42,200,,,,
955,Carney et al. (2010),"OR(N=42) = 3.13 [.94,10.4]","OR(N=276) = 1.17 [.91,1.51]","Keller, Johnson et al. (2017)",unsuccessful,power posing effect (risk-taking DV) ,CRSP special issue,pose (expansive vs contractive),risky gambling decision (yes vs. no),close,2 tickets to win $50 gift card instead of $2,,impromptu job interview performance (same pattern of results observed),social,,"http://www.people.hbs.edu/acuddy/in%20press,%20carney,%20cuddy,%20&%20yap,%20psych%20science.pdf",https://www.researchgate.net/profile/Joseph_Cesario/publication/317958126_Power_poses_-_where_do_we_stand/links/59dbd44d0f7e9b1460fc29be/Power-poses-where-do-we-stand.pdf#page=107,https://osf.io/hnef7/,,https://osf.io/ut9jv/,,,,,between-subjects,chi-square,,,42,276,,,,
958,Bargh et al. (1996) Study 2a ,d(N=30) = +1.02 ± .76 ,d(N=31) = +.56 ± .72 ,Hull et al. (2002) Study 1a ,unsuccessful,elderly priming,individual effort,,,close,,,,social,,http://paynelab395.web.unc.edu/files/2012/08/Bargh-Chen-Burrows-1996-Automaticity-of-social-behavior.pdf,https://github.com/eplebel/science-commons/blob/master/curated/barghetal1996/hull%20et%20al%20(2002)%20The%20nonconsciousness%20of%20self-consciousness%20(2%20unsuccessful%20direct%20replications%20of%20bargh%20et%20al%201996%20study%202).pdf,,,,,,,,,,,,30,31,,,,
959,Bargh et al. (1996) Study 2a ,d(N=30) = +1.02 ± .76 ,d(N=40) = +.53 ± .63 ,Hull et al. (2002) Study 1b ,unsuccessful,elderly priming,individual effort,,,close,,,,social,,http://paynelab395.web.unc.edu/files/2012/08/Bargh-Chen-Burrows-1996-Automaticity-of-social-behavior.pdf,https://github.com/eplebel/science-commons/blob/master/curated/barghetal1996/hull%20et%20al%20(2002)%20The%20nonconsciousness%20of%20self-consciousness%20(2%20unsuccessful%20direct%20replications%20of%20bargh%20et%20al%201996%20study%202).pdf,,,,,,,,,,,,30,40,,,,
960,Bargh et al. (1996) Study 2a ,d(N=30) = +1.02 ± .76 ,d(N=45) = +.22 ± .58 ,Cesario et al. (2007) Study 2 ,unsuccessful,elderly priming,individual effort,,,very close,,,,social,,http://paynelab395.web.unc.edu/files/2012/08/Bargh-Chen-Burrows-1996-Automaticity-of-social-behavior.pdf,https://msu.edu/~cesario/publications/cesario_plaks_higgins_2006_jpsp.pdf,,,,,,,,,,,,30,45,,,,
961,Bargh et al. (1996) Study 2a ,d(N=30) = +1.02 ± .76 ,d(N=66) = -.22 ± .48 ,Pashler et al. (2008) ,unsuccessful,elderly priming,individual effort,,,very close,,,,social,,http://paynelab395.web.unc.edu/files/2012/08/Bargh-Chen-Burrows-1996-Automaticity-of-social-behavior.pdf,https://web.archive.org/web/20170923093613/http://www.psychfiledrawer.org/replication.php?attempt=MTU%3D,,,,,,,,,,,,30,66,,,,
962,Bargh et al. (1996) Study 2a ,d(N=30) = +1.02 ± .76 ,d(N=120) = -.07 ± .36 ,Doyen et al. (2012) Study 1 ,unsuccessful,elderly priming,individual effort,,,close,,,,social,,http://paynelab395.web.unc.edu/files/2012/08/Bargh-Chen-Burrows-1996-Automaticity-of-social-behavior.pdf,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0029081,,http://journals.plos.org/plosone/article/file?type=supplementary&id=info:doi/10.1371/journal.pone.0029081.s001,,,,,,,,,,30,120,,,,
963,Slepian et al. (2012) Study 1,d(N=40) = +.78 ± .62,d(N=314) = +.19 ± .22,Perfecto et al. (2012),unsuccessful,embodiment of secrets effect,individual effort,,,very close,,,,social,,http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf,https://web.archive.org/web/20170923095521/http://psychfiledrawer.org/replication.php?attempt=MTc2,,https://web.archive.org/web/20170107102034/http://www.psychfiledrawer.org/files/8531391990603Materials.pdf,,,,,,,,,,40,314,,,,
964,Slepian et al. (2012) Study 1,d(N=40) = +.78 ± .62,d(N=240) = +.18 ± .25,LeBel & Wilbur (2014) Study 1,unsuccessful,embodiment of secrets effect,individual effort,,,very close,,,,social,,http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf,"http://etiennelebel.com/documents/l&w(2014,pbr).pdf",https://osf.io/bks3g/,https://osf.io/dz2fx/,https://osf.io/dz2fx/,,,,,,,,,40,240,,,,
965,Slepian et al. (2012) Study 1,d(N=40) = +.78 ± .62,d(N=90) = -.32 ± .41,LeBel & Wilbur (2014) Study 2,unsuccessful,embodiment of secrets effect,individual effort,,,very close,,,,social,,http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf,"http://etiennelebel.com/documents/l&w(2014,pbr).pdf",https://osf.io/kdu9z/,https://osf.io/e5aj9/,https://osf.io/e5aj9/,,,,,,,,,40,90,,,,
966,Slepian et al. (2012) Study 1,d(N=40) = +.78 ± .62,d(N=100) = +.08 ± .39,Pecher et al. (2015) Study 1,unsuccessful,embodiment of secrets effect,individual effort,,,very close,,,,social,,http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf,https://s3.amazonaws.com/academia.edu.documents/37999752/PecherVanMierloCanalBrulandZeelenberg15.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1510160697&Signature=FSmhl5Z5BF%2Bcem9NgITBSb6fzxY%3D&response-content-disposition=inline%3B%20filename%3DThe_Burden_of_Secrecy_No_Effect_on_Hill.pdf,,,,,,,,,,,,40,100,,,,
967,Slepian et al. (2012) Study 1,d(N=40) = +.78 ± .62,d(N=100) = +.21 ± .39,Pecher et al. (2015) Study 2,unsuccessful,embodiment of secrets effect,individual effort,,,very close,,,,social,,http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf,https://s3.amazonaws.com/academia.edu.documents/37999752/PecherVanMierloCanalBrulandZeelenberg15.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1510160697&Signature=FSmhl5Z5BF%2Bcem9NgITBSb6fzxY%3D&response-content-disposition=inline%3B%20filename%3DThe_Burden_of_Secrecy_No_Effect_on_Hill.pdf,,,https://osf.io/hmfxt/,,,,,,,,,40,100,,,,
968,Slepian et al. (2012) Study 2,d(N=36) = +.81 ± .73,d(N=60) = +.31 ± .52,Cobb et al. (2014),unsuccessful,embodiment of secrets effect,individual effort,,,close,,,,social,,http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf,https://web.archive.org/web/*/http://psychfiledrawer.org/replication.php?attempt=MjIw,,,,,,,,,,,,36,60,,,,
969,Slepian et al. (2012) Study 2,d(N=36) = +.81 ± .73,d(N=118) = +.21 ± .36,Pecher et al. (2015) Study 3,unsuccessful,embodiment of secrets effect,individual effort,,,very close,,,,social,,http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf,https://s3.amazonaws.com/academia.edu.documents/37999752/PecherVanMierloCanalBrulandZeelenberg15.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1510160697&Signature=FSmhl5Z5BF%2Bcem9NgITBSb6fzxY%3D&response-content-disposition=inline%3B%20filename%3DThe_Burden_of_Secrecy_No_Effect_on_Hill.pdf,,,https://osf.io/qc3pz/,,,,,,,,,36,118,,,,
970,Zhong & Liljenquist (2006) Study 2,r(N=27) = +.45 ± .31,r(N=36) = +.04 ± .33,Gamez et al. (2011) Study 2,unsuccessful,Macbeth effect,individual effort,,,,,,,social,,http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf,http://www.redalyc.org/pdf/172/17217456013.pdf,,,,,,,,,,,,27,36,,,,
971,Zhong & Liljenquist (2006) Study 2,r(N=27) = +.45 ± .31,r(N=335) = -.04 ± .11,Siev (2012) Study 1,unsuccessful,Macbeth effect,individual effort,,,,,,,social,,http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf,https://github.com/eplebel/science-commons/blob/master/curated/z%26l/Siev%20(2012).pdf,,,,,,,,,,,,27,335,,,,
972,Zhong & Liljenquist (2006) Study 2,r(N=27) = +.45 ± .31,r(N=148) = -.09 ± .16,Siev (2012) Study 2,unsuccessful,Macbeth effect,individual effort,,,,,,,social,,http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf,https://github.com/eplebel/science-commons/blob/master/curated/z%26l/Siev%20(2012).pdf,,https://github.com/eplebel/science-commons/blob/master/curated/z%26l/Siev%20(2012%2C%20Study%202)%20-%20Spring08protocol%20undergrads%20fixed%20format.pdf,,,,,,,,,,27,148,,,,
973,Zhong & Liljenquist (2006) Study 2,r(N=27) = +.45 ± .31,r(N=153) = +.00 ± .16,Earp et al. (2014) Study 1,unsuccessful,Macbeth effect,individual effort,,,,,,,social,,http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf,http://www.jimaceverett.com/wp-content/uploads/2014/09/Earp-Everett-et-al.-2014-Out-damned-spot.pdf,http://www.jimaceverett.com/wp-content/uploads/2014/09/Macbeth-Study-1.csv,,,,,,,,,,,27,153,,,,
974,Zhong & Liljenquist (2006) Study 2,r(N=27) = +.45 ± .31,r(N=156) = -.07 ± .16,Earp et al. (2014) Study 2,unsuccessful,Macbeth effect,individual effort,,,,,,,social,,http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf,http://www.jimaceverett.com/wp-content/uploads/2014/09/Earp-Everett-et-al.-2014-Out-damned-spot.pdf,http://www.jimaceverett.com/wp-content/uploads/2014/09/Macbeth-Study-2-USA.csv,,,,,,,,,,,27,156,,,,
