target.effect,orig.study.number,rep.study.number,orig.N,orig.ES.type,orig.ES,orig.ES.CI,rep.N,rep.ES.type,rep.ES,rep.ES.CI,rep.outcome,IVs,DVs,rep.type,rep.effort.type,rep.method.differences,rep.active.sample.evidence,other.outcomes,ES.description,EC.URL,orig.study.article.URL,orig.study.article.DOI,rep.study.article.URL,rep.pre.reg.URL,rep.open.materials.URL,rep.open.data.URL,orig.open.data.URL,orig.open.materials.URL,orig.pre.reg.URL,rep.population,discipline,orig.study.pub.year,reporting.standard.used,effect.description,design,statistical.effect.type,orig.test.statistic,orig.pvalue,rep.outcome.bayesian,orig.article.title,RPP.orig.untransformed.ES,RPP.rep.untransformed.ES,RPP.interpretation,RPP.study.number,study.order.CS,rep.num.in.set,social.priming,include.in.HTML.table,rep.num
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,"Vazire, Finnigan et al. (2017)",43,PD,13.20%,,277,PD,2.89%,3.28%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #4,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,954
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Newell et al. (2017),43,PD,13.20%,,122,PD,1.66%,4.71%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #5,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,955
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,O’Donnell et al. (2017),43,PD,13.20%,,200,PD,1.58%,4.90%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #6,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,956
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Tamayo et al. (2017),43,PD,13.20%,,208,PD,1.41%,3.42%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #7,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,957
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Karpinski et al. (2017),43,PD,13.20%,,157,PD,1.38%,4.45%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #8,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,958
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Klein et al. (2017),43,PD,13.20%,,242,PD,.88%,2.93%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #9,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,959
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Keller et al. (2017),43,PD,13.20%,,431,PD,.17%,2.61%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #10,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,960
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Shanks et al. (2017),43,PD,13.20%,,135,PD,.11%,5.01%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #11,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,961
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Bialobrzeska et al. (2017),43,PD,13.20%,,136,PD,-.12%,3.98%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #12,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,962
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Koppel et al. (2017),43,PD,13.20%,,139,PD,-.20%,4.07%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #13,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,963
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Philipp et al. (2017),43,PD,13.20%,,140,PD,-.43%,4.75%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #14,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,964
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Ropovik et al. (2017),43,PD,13.20%,,199,PD,-.48%,3.14%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #15,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,965
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Steele et al. (2017),43,PD,13.20%,,544,PD,-.58%,2.01%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #16,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,966
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Susa et al. (2017),43,PD,13.20%,,169,PD,-.63%,4.05%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #17,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,967
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Steffens et al. (2017),43,PD,13.20%,,144,PD,-.84%,4.79%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #18,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,968
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Aczel et al. (2017),43,PD,13.20%,,260,PD,-1.35%,2.95%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #19,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,969
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Saunders et al. (2017),43,PD,13.20%,,152,PD,-1.87%,4.44%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #20,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,970
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,McLatchie et al. (2017),43,PD,13.20%,,107,PD,-2.16%,4.95%,no signal - inconsistent,professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #21,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,971
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Aveyard et al. (2017),43,PD,13.20%,,205,PD,-3.99%,3.43%,"signal - inconsistent, opposite",professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #22,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,972
professor priming,Dijksterhuis & van Knippenberg (1998) Study 4,Boot et al. (2017),43,PD,13.20%,,150,PD,-4.99%,4.68%,"signal - inconsistent, opposite",professor vs. hooligan priming (writing task),Trivial pursuit performance (% of correct answers; out of 30 items),close,RRR8 #23,new normed set of Trivial pursuit items (medium difficulty; 30 instead of 20 items); different cover story,,,PD = percentage difference in correctly answered Trivial pursuit questions across conditions (professor - hooligan),,http://www.communicationcache.com/uploads/1/0/8/8/10887248/the_relation_between_perception_and_behavior-_how_t_win_a_game_of_trivial_pursuit.pdf,10.1037/0022-3514.74.4.865,https://www.psychologicalscience.org/redesign/wp-content/uploads/2017/11/RRR_ProfPrime_Ms_171013_ACPT.pdf,https://osf.io/hzg2v/,https://osf.io/6whj3/,https://osf.io/fyptm/,,,,,social,1998,,,,,,,,,,,,,,,yes,yes,973
playboy effect (on love),Kenrick et al. (1989) Study 2,Balzarini et al. (2017) Study 1,65,Δd,-.53,.64,223,Δd,.29,.46,no signal - inconsistent,Playboy centerfolds vs. control; Participant sex,Love for partner (Rubin Love-scale),close,individual effort,Updated pictures of abstract art & male/female nudes; Two attention check questions,Nudes rated as more pleasant than abstract art,1 other DV (partner attraction; same pattern of results observed),Δd = change in love after exposure to opposite-sex nudes vs. control (d_men - d_women; negative value means exposure to nudes decreased love more for men compared to women),,https://github.com/eplebel/science-commons/blob/master/curated/kgg1989/Kenrick%2C%20Gutierres%2C%20%26%20Goldbergs%20(1989)%20Study%202%20playboy%20effect.pdf,10.1016/0022-1031(89)90010-3,https://github.com/eplebel/science-commons/blob/master/curated/kgg1989/balzarini%20et%20al%20(2016%2C%20JESP)%203%20independent%20direct%20replications%20of%20playboy%20effect.pdf,https://osf.io/6xqju/,https://osf.io/nrkej/,https://osf.io/w648b/,,,,,social,1989,,"Opposite-sex nudes exposure decreases love among men, but not women",,,,,,,,,,,,,,yes,974
playboy effect (on love),Kenrick et al. (1989) Study 2,Balzarini et al. (2017) Study 2,65,Δd,-.53,.64,263,Δd,.30,.42,no signal - inconsistent,Playboy centerfolds vs. control; Participant sex,Love for partner (Rubin Love-scale),close,individual effort,Updated pictures of abstract art & male/female nudes; Two attention check questions,Nudes rated as more pleasant than abstract art,1 other DV (partner attraction; same pattern of results observed),Δd = change in love after exposure to opposite-sex nudes vs. control (d_men - d_women; negative value means exposure to nudes decreased love more for men compared to women),,https://github.com/eplebel/science-commons/blob/master/curated/kgg1989/Kenrick%2C%20Gutierres%2C%20%26%20Goldbergs%20(1989)%20Study%202%20playboy%20effect.pdf,10.1016/0022-1031(89)90010-3,https://github.com/eplebel/science-commons/blob/master/curated/kgg1989/balzarini%20et%20al%20(2016%2C%20JESP)%203%20independent%20direct%20replications%20of%20playboy%20effect.pdf,https://osf.io/6xqju/,https://osf.io/nrkej/,https://osf.io/rqhjk/,,,,,social,1989,,"Opposite-sex nudes exposure decreases love among men, but not women",,,,,,,,,,,,,,yes,975
playboy effect (on love),Kenrick et al. (1989) Study 2,Balzarini et al. (2017) Study 3,65,Δd,-.53,.64,225,Δd,-.38,.46,no signal - inconsistent,Playboy centerfolds vs. control; Participant sex,Love for partner (Rubin Love-scale),close,individual effort,Updated pictures of abstract art & male/female nudes; Two attention check questions,Nudes rated as more pleasant than abstract art,1 other DV (partner attraction; same pattern of results observed),Δd = change in love after exposure to opposite-sex nudes vs. control (d_men - d_women; negative value means exposure to nudes decreased love more for men compared to women),,https://github.com/eplebel/science-commons/blob/master/curated/kgg1989/Kenrick%2C%20Gutierres%2C%20%26%20Goldbergs%20(1989)%20Study%202%20playboy%20effect.pdf,10.1016/0022-1031(89)90010-3,https://github.com/eplebel/science-commons/blob/master/curated/kgg1989/balzarini%20et%20al%20(2016%2C%20JESP)%203%20independent%20direct%20replications%20of%20playboy%20effect.pdf,https://osf.io/6xqju/,https://osf.io/f56a8/,https://osf.io/f4n7b/,,,,,social,1989,,"Opposite-sex nudes exposure decreases love among men, but not women",,,,,,,,,,,,,,yes,976
positive mood boosts helping effect,Isen & Levin (1972) Study 2,Blevins & Murphy (1974),41,PD,84%,18%,50,PD,3%,30%,no signal - inconsistent,positive mood (finding dime) vs. control (not finding dime),helping (picking up dropped papers),close,individual effort,,,,PD = percentage difference in Ps helping (positive mood compared to control condition),collections/mood-on-helping.html,https://pdfs.semanticscholar.org/5081/93706d0c21b5ca09e8f43a3ce01e03a2138c.pdf,10.1037/h0032317,https://github.com/eplebel/science-commons/blob/master/curated/mood-on-helping/blevins%20%26%20murphy%20(1974)%20failed%20replication%20of%20i%26l1972%20study%202.pdf,,,,,,,,social,1972,,Positive mood increases percentage of Ps who help,,,,,,,,,,,,,,yes,977
positive mood boosts helping effect,Levin & Isen (1975) Study 1,Weyant & Clark (1977) Study 1,24,PD,60%,30%,106,PD,25%,29%,no signal - inconsistent,positive mood (finding dime) vs. control (not finding dime),helping (mailing 'forgotten' letter),close,individual effort,,,,PD = percentage difference in Ps helping (positive mood compared to control condition),collections/mood-on-helping.html,https://github.com/eplebel/science-commons/blob/master/curated/mood-on-helping/levin%20%26%20isen%20(1975%2C%20studies%201%20%26%202)%20further%20studies%20on%20effect%20of%20feeling%20good%20on%20helping.pdf,10.2307/2786238,https://github.com/eplebel/science-commons/blob/master/curated/mood-on-helping/weyant%20%26%20clark%20(1977%2C%20pspb)%20dimes%20and%20helping%20-%20the%20other%20side%20of%20the%20coin%20%5B2%20failed%20reps%20of%20l%26i1975%20study%201%5D.pdf,,,,,,,,social,1975,,Positive mood increases percentage of Ps who help,,,,,,,,,,,,,,yes,978
positive mood boosts helping effect,Levin & Isen (1975) Study 1,Weyant & Clark (1977) Study 2,24,PD,60%,30%,32,PD,-7%,16%,no signal - inconsistent,positive mood (finding dime) vs. control (not finding dime),helping (mailing 'forgotten' letter),close,individual effort,,,,PD = percentage difference in Ps helping (positive mood compared to control condition),collections/mood-on-helping.html,https://github.com/eplebel/science-commons/blob/master/curated/mood-on-helping/levin%20%26%20isen%20(1975%2C%20studies%201%20%26%202)%20further%20studies%20on%20effect%20of%20feeling%20good%20on%20helping.pdf,10.2307/2786238,https://github.com/eplebel/science-commons/blob/master/curated/mood-on-helping/weyant%20%26%20clark%20(1977%2C%20pspb)%20dimes%20and%20helping%20-%20the%20other%20side%20of%20the%20coin%20%5B2%20failed%20reps%20of%20l%26i1975%20study%201%5D.pdf,,,,,,,,social,1975,,Positive mood increases percentage of Ps who help,,,,,,,,,,,,,,yes,979
reading fiction boosts empathy effect,Kidd & Castano (2013) Study 1,Panero et al. (2016) Study 1,86,d,.56,.43,300,d,-.08,.23,no signal - inconsistent,literary fiction vs. nonfiction,empathy (Reading the mind in the eyes test [RMET]),very close,individual effort,,,,,,http://www.scienceintheclassroom.org/sites/default/files/research-papers/science-2013-kidd-377-80.pdf,10.1126/science.1239918,https://www.sas.upenn.edu/~deenas/papers/panero-weisberg-black-etal-JPSP.pdf,,https://github.com/eplebel/science-commons/blob/master/curated/Panero-et-al-2016-SUPPLEMENTARY-MATERIALS.pdf,https://osf.io/6h9u3/,,,,,social,2013,,,,,,,,,,,,,,,,yes,980
reading fiction boosts empathy effect,Kidd & Castano (2013) Study 3,"Dijkstra, Zwaan et al. (2015)",69,d,.36,.21,300,d,.14,.23,no signal - inconsistent,literary fiction vs. nonfiction,empathy (Reading the mind in the eyes test [RMET]),very close,individual effort,,,,,,http://www.scienceintheclassroom.org/sites/default/files/research-papers/science-2013-kidd-377-80.pdf,10.1126/science.1239918,https://github.com/eplebel/science-commons/blob/master/curated/dijkstra-et-al%5B2015%5D.pdf,,,,,,,,social,2013,,,,,,,,,,,,,,,,yes,981
reading fiction boosts empathy effect,Kidd & Castano (2013) Study 3,Panero et al. (2016) Study 2,69,d,.36,.21,303,d,.04,.22,no signal - inconsistent,literary fiction vs. popular fiction,empathy (Reading the mind in the eyes test [RMET]),very close,individual effort,,,,,,http://www.scienceintheclassroom.org/sites/default/files/research-papers/science-2013-kidd-377-80.pdf,10.1126/science.1239918,https://www.sas.upenn.edu/~deenas/papers/panero-weisberg-black-etal-JPSP.pdf,,https://github.com/eplebel/science-commons/blob/master/curated/Panero-et-al-2016-SUPPLEMENTARY-MATERIALS.pdf,https://osf.io/6h9u3/,,,,,social,2013,,,,,,,,,,,,,,,,yes,982
reading fiction boosts empathy effect,Kidd & Castano (2013) Study 5,Panero et al. (2016) Study 3,237,d,.25,.25,369,d,.10,.20,no signal - inconsistent,literary fiction vs. popular fiction,empathy (Reading the mind in the eyes test [RMET]),very close,individual effort,,,,,,http://www.scienceintheclassroom.org/sites/default/files/research-papers/science-2013-kidd-377-80.pdf,10.1126/science.1239918,https://www.sas.upenn.edu/~deenas/papers/panero-weisberg-black-etal-JPSP.pdf,,https://github.com/eplebel/science-commons/blob/master/curated/Panero-et-al-2016-SUPPLEMENTARY-MATERIALS.pdf,https://osf.io/6h9u3/,,,,,social,2013,,,,,,,,,,,,,,,,yes,983
pre-cognition (erotic premonition),Bem (2011) Study 1,Wagenmakers et al. (2012),100,d,.25,,200,d,-.05,,no signal - inconsistent,n/a,future location of erotic photo,close,individual effort,different erotic photos,,,,,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,10.1037/a0021524,http://ejwagenmakers.com/2012/WagenmakersEtAl2012PoPS.pdf,https://dl.dropboxusercontent.com/u/1018886/Advance_Information_on_Experiment_and_Analysis.pdf,https://dl.dropboxusercontent.com/u/1018886/Advance_Information_on_Experiment_and_Analysis.pdf,,,,,,social,2011,,,,,,,,,,,,,,,,yes,984
pre-cognition (retroactive memory recall),Bem (2011) Study 8,Galak et al. (2012) Study 1,100,DR%,2.3%,2.3%,112,DR%,-1.2%,1.6%,no signal - inconsistent,rehearsed vs. non-rehearsed words (after memory test),free recall memory test,close,individual effort,,,,DR% = differential recall between rehearsed vs. control words (weighted by total words recalled),,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,10.1037/a0021524,http://www.deanradin.com/evidence/galak2012.pdf,,,http://www.consumerbehaviorlab.com/psi/CorrectingThePastData.xlsx,,,,,social,2011,,,,,,,,,,,,,,,,yes,985
pre-cognition (retroactive memory recall),Bem (2011) Study 8,Galak et al. (2012) Study 2,100,DR%,2.3%,2.3%,158,DR%,0%,1.3%,no signal - inconsistent,rehearsed vs. non-rehearsed words (after memory test),free recall memory test,close,individual effort,,,,DR% = differential recall between rehearsed vs. control words (weighted by total words recalled),,https://pdfs.semanticscholar.org/0d54/6a62281b2d9e49a82afffb3a6d176dbf19e9.pdf,10.1037/a0021524,http://www.deanradin.com/evidence/galak2012.pdf,,,http://www.consumerbehaviorlab.com/psi/CorrectingThePastData.xlsx,,,,,social,2011,,,,,,,,,,,,,,,,yes,986
